MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51978
 1.000 2.000 2.000 2.000 2.000 2.000 1.000 1.000 0.000 0.000             2 51978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 61978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 61978
 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 61978
 0.000 0.000 2.000 3.000 4.000 3.000 2.000 2.000 2.000 3.000             1 71978
 4.000 5.000 5.000 6.000 7.000 7.000 7.000 8.000 9.000 9.000             2 71978
 9.000 9.00011.000 9.000 8.000 7.000 6.000 3.000 1.000 1.000 2.000       3 71978
 6.00010.000 9999. 9999. 9999. 9999. 9999.15.000 9999.14.000             1 81978
11.00011.000 8.000 6.000 5.000 5.000 7.000 9.00010.00012.000             2 81978
13.00013.00012.00011.00010.000 9.000 7.000 6.000 3.000 6.000 6.000       3 81978
 8.000 9.000 9.000 9.000 9.000 8.000 9999. 6.000 4.000 3.000             1 91978
 2.000 1.000 2.000 2.000 2.000 2.000 3.000 4.000 4.000 6.000             2 91978
 7.000 9.00010.00010.00010.00010.00011.00013.00014.00013.000 9999.       3 91978
11.000 9.000 6.000 4.000 3.000 2.000 2.000 2.000 1.000 1.000             1101978
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2101978
 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.000 4.000 2.000 1.000       3 51979
 0.000 0.000 1.000 1.000 1.000 1.000 4.00010.00012.00011.000             1 61979
 8.000 6.000 4.000 5.000 4.000 2.000 3.000 8.00011.00011.000             2 61979
 8.000 5.000 2.000 2.000 2.000 2.000 1.000 1.000 0.000 0.000 9999.       3 61979
 0.000 0.000 1.000 1.000 0.000 0.000 1.000 2.000 2.000 3.000             1 71979
 2.000 1.000 0.000 0.000 0.000 0.000 3.000 2.000 4.000 9.000             2 71979
13.00013.00010.000 8.00017.00030.00033.00030.00025.00020.00015.000       3 71979
11.000 9.000 8.000 9.00011.00010.00011.00010.000 9.00010.000             1 81979
10.00010.00011.00010.00011.00011.00010.000 8.000 8.000 7.000             2 81979
 5.000 4.000 3.000 4.000 5.000 5.000 5.000 4.000 3.000 2.000 3.000       3 81979
 3.000 4.000 5.000 7.000 8.000 9.00010.00012.00014.00017.000             1 91979
22.00026.00030.00035.00034.00030.00027.00025.00023.00020.000             2 91979
17.00015.00013.00011.000 9.000 8.000 6.000 5.000 5.000 5.000 9999.       3 91979
 7.000 6.000 5.000 5.000 4.000 4.000 3.000 3.000 3.000 2.000             1101979
 2.000 2.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000             2101979
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999.       3 21980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000       3 51980
 1.000 0.000 0.000 2.000 7.00017.00021.00022.00018.00014.000             1 61980
 9.000 5.000 3.000 2.000 3.000 4.000 3.000 2.000 1.000 0.000             2 61980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 61980
 2.000 2.000 2.000 1.000 1.000 1.000 0.000 0.000 1.000 4.000             1 71980
 4.000 3.000 1.000 1.000 2.000 0.000 0.000 0.000 0.000 0.000             2 71980
 0.000 0.000 1.000 2.000 2.000 3.000 5.000 7.000 9.000 9.000 8.000       3 71980
 6.000 4.000 3.000 3.000 1.000 1.000 4.00012.00016.00020.000             1 81980
20.00018.00019.00020.00020.00019.00017.00014.00012.00010.000             2 81980
 7.000 5.000 4.000 4.000 6.000 7.000 7.00010.00013.00019.00025.000       3 81980
28.00030.00031.00031.00030.00028.00026.00022.00019.00015.000             1 91980
12.00010.000 8.000 6.000 4.000 4.000 3.000 3.000 2.000 2.000             2 91980
 1.000 1.000 1.000 1.000 1.000 2.000 1.000 1.000 0.000 1.000 9999.       3 91980
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1101980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2101980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41981
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 51981
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 0.000 0.000             2 51981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 2.000 0.000 3.000 5.000       3 51981
 4.000 3.000 1.000 1.000 1.000 1.000 1.000 1.000 2.000 2.000             1 61981
 0.000 0.000 0.000 0.000 0.000 0.000 2.000 3.000 9.00012.000             2 61981
12.000 9.000 4.000 2.000 1.000 2.000 1.000 0.000 0.000 0.000 9999.       3 61981
 0.000 2.000 3.000 3.000 4.000 3.000 3.000 3.000 2.000 1.000             1 71981
 3.000 5.000 5.000 4.000 4.000 5.000 9.00011.00013.00015.000             2 71981
13.000 9.000 8.00011.00014.00018.00019.00017.00014.00010.000 9.000       3 71981
16.00019.00016.00013.00010.000 9.000 8.000 8.000 8.000 7.000             1 81981
 6.000 6.000 5.00010.00019.00025.00022.00016.00013.00012.000             2 81981
13.00013.00011.000 9.000 8.000 5.000 4.000 3.000 3.000 3.000 4.000       3 81981
 6.000 8.000 9.000 8.000 7.000 8.000 8.000 9.00010.00011.000             1 91981
12.00012.00013.00013.00012.00012.00012.00011.00010.000 9.000             2 91981
 8.000 8.000 7.000 6.000 5.000 4.000 3.000 2.000 1.000 1.000 9999.       3 91981
 1.000 1.000 1.000 1.000 9999. 9999. 9999. 0.000 9999. 9999.             1101981
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 0.000             2101981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121981
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3.000 5.000 5.000       3 51982
 3.000 1.000 0.000 0.000 0.000 1.000 2.000 3.000 3.000 2.000             1 61982
 1.000 2.000 2.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000             2 61982
 0.000 0.000 0.000 0.000 0.000 4.000 7.000 9.000 9.000 9.000 9999.       3 61982
 6.000 3.000 1.000 0.000 1.000 1.000 1.000 1.000 1.000 0.000             1 71982
 0.000 1.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000             2 71982
 0.000 0.000 0.000 1.000 2.000 4.000 4.000 3.000 2.000 1.000 2.000       3 71982
 5.000 6.000 6.000 5.000 4.000 4.000 3.000 2.000 1.000 1.000             1 81982
 2.000 4.000 5.000 6.000 6.000 6.000 5.000 4.000 3.000 2.000             2 81982
 3.000 3.000 2.000 2.000 2.000 3.000 3.000 4.000 5.000 6.000 8.000       3 81982
 8.000 6.000 5.000 4.000 3.000 4.000 5.000 5.000 5.000 5.000             1 91982
 5.000 4.000 3.000 3.000 2.000 2.000 1.000 1.000 0.000 0.000             2 91982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 91982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1101982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2101982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121982
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51983
 0.000 0.000 0.000 0.000 3.000 3.000 3.000 3.000 3.000 3.000             2 51983
 9999. 9999. 9999. 9999. 3.000 2.000 0.000 0.000 0.000 0.000 0.000       3 51983
 1.000 4.000 7.00012.00013.00010.000 7.000 3.000 2.000 2.000             1 61983
 1.000 0.000 1.000 1.000 1.00014.00037.00025.00015.00012.000             2 61983
12.000 7.000 5.000 9.00014.00015.00012.00010.000 6.000 5.000 9999.       3 61983
 3.000 2.000 1.000 0.000 0.000 0.000 1.000 3.00013.00014.000             1 71983
 9.000 5.000 2.000 2.000 2.000 2.000 3.000 3.000 4.000 3.000             2 71983
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000       3 71983
 3.000 5.000 5.000 4.000 3.000 2.000 1.000 2.000 2.000 2.000             1 81983
 2.000 1.000 0.000 1.000 3.000 5.000 6.000 6.000 6.000 5.000             2 81983
 3.000 2.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 81983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000             1 91983
 1.000 1.000 1.000 1.000 1.000 1.000 2.000 1.000 1.000 1.000             2 91983
 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 91983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1101983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2101983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121983
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121983
NAKANBE (VOLTA BLANCHE)                 YILOU
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51977
 0.000 0.000 6.000 6.000 3.000 2.000 2.000 2.000 2.000 2.000             1 61977
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000             2 61977
 0.000 0.000 0.000 0.000 2.000 3.000 3.000 2.000 5.000 5.000 9999.       3 61977
 6.000 9.00010.00010.000 9.000 8.000 6.000 5.000 5.000 4.000             1 71977
 3.000 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000 4.000             2 71977
 5.000 5.000 5.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 2.000       3 71977
 2.000 1.000 1.000 1.000 1.000 1.000 1.000 4.000 6.000 7.000             1 81977
 6.000 6.00011.00017.00022.00028.00028.00027.00024.000 9999.             2 81977
 9999. 9999. 9999. 9999.15.00018.00022.00021.00019.00019.00023.000       3 81977
27.00027.00026.00023.00020.00018.00018.00018.00018.00018.000             1 91977
18.00017.00017.00016.00017.00017.00017.00017.00017.00016.000             2 91977
14.00013.00014.00012.00010.000 9.000 8.000 7.000 6.000 6.000 9999.       3 91977
 5.000 5.000 6.000 6.000 7.000 7.000 7.000 7.000 6.000 6.000             1101977
 5.000 5.000 4.000 4.000 4.000 4.000 3.000 3.000 3.000 3.000             2101977
 3.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000       3101977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121977
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41978
 0.000 0.000 0.000 0.000 4.000 4.000 4.000 4.000 3.000 3.000             1 51978
 2.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000             2 51978
 1.000 1.000 1.000 2.000 3.000 3.000 2.000 2.000 1.000 1.000 1.000       3 51978
 1.000 1.000 1.000 1.000 1.000 1.000 2.000 2.000 2.000 2.000             1 61978
 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000             2 61978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 61978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 2.000 2.000             1 71978
 2.000 2.000 2.000 3.000 4.000 4.000 5.000 5.000 7.00013.000             2 71978
17.00017.00016.00013.00011.00013.00028.00050.00065.00098.00013.000       3 71978
132.00122.00116.00105.0093.00074.00061.00054.00048.00044.000             1 81978
40.00036.00030.00026.00023.00020.00017.00015.00014.00014.000             2 81978
13.00012.00012.00011.00010.000 9.00011.00010.000 9.000 3.00013.000       3 81978
 9.000 7.000 6.000 8.00010.00013.00016.00017.00018.00017.000             1 91978
15.00013.00011.00010.000 8.000 7.000 6.000 6.000 5.000 5.000             2 91978
 4.000 4.000 3.000 3.000 3.000 3.000 4.000 5.000 4.000 3.000 9999.       3 91978
 3.000 2.000 2.000 2.000 2.000 1.000 1.000 1.000 1.000 1.000             1101978
 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2101978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3101978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3111978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3121978
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 11979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.       3 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 51979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 51979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 51979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 61979
