MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000       3121978
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000             1 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21979
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21979
 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 9999. 9999. 9999.       3 21979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000       3 31979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             1 41979
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 9999.             2 41979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 41979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 51979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             2 51979
 9999. 9999. 9999. 9999. 0.000 9999. 9999. 9999. 3.000 5.000 5.000       3 51979
18.00016.00018.00014.00013.00013.00012.00011.00011.00012.000             1 61979
 9.000 8.000 7.000 8.000 8.000 8.000 8.00010.000 9.000 8.000             2 61979
 9.00010.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 61979
 9999. 9999. 9999. 9999. 9999.18.000 9999. 9999. 9999. 9999.             1 71979
 9999. 9999.15.000 9999. 9999. 9999. 9999. 9999. 9999.16.000             2 71979
 9999. 9999. 9999. 9999. 9999. 9999.22.000 9999. 9999. 9999. 9999.       3 71979
 9999. 9999. 9999. 9999. 9999.38.00039.00041.00043.00045.000             1 81979
46.00047.00048.00049.00049.00049.00049.00048.00048.00047.000             2 81979
45.00046.00047.00047.00048.00048.00049.00051.000137.00123.00109.00       3 81979
102.0095.00089.000 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 91979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.62.000             2 91979
60.00057.00054.00052.00050.00049.00047.00045.00042.00040.000 9999.       3 91979
39.00037.00036.00034.00032.00032.00031.00032.00032.00032.000             1101979
31.00030.00028.00026.00024.00022.00021.00021.00020.00019.000             2101979
18.00017.00017.00016.00015.00014.00014.00013.00013.00012.00012.000       3101979
12.00012.00011.00011.00011.00011.00010.00011.00011.00012.000             1111979
12.00012.00011.00011.00010.00010.00010.000 9.000 9.000 9.000             2111979
 9.000 9.000 9.000 8.000 8.000 8.000 7.000 7.000 7.000 6.000 9999.       3111979
 6.000 6.000 6.000 6.000 6.000 5.000 5.000 5.000 5.000 5.000             1121979
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 3.000             2121979
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000       3121979
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 11980
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 1.000             2 11980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11980
 2.000 1.000 2.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 21980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 9999. 9999.       3 21980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000             1 31980
 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000             2 31980
 0.000 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.       3 31980
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999. 9999.             1 51980
 9999. 9999. 9999. 9999. 9999. 9999. 9999. 5.000 5.000 9999.             2 51980
 5.000 5.000 5.000 5.000 5.000 5.000 5.000 6.000 7.000 8.000 9.000       3 51980
 9.000 9.000 9.000 8.000 6.000 7.000 8.000 6.000 6.000 9.000             1 61980
11.00011.00011.00012.00012.00010.000 8.000 8.00010.00011.000             2 61980
10.000 9.000 9.000 8.000 7.000 7.000 5.000 5.000 4.000 4.000 9999.       3 61980
 4.000 4.000 4.000 4.000 4.000 4.000 5.00010.00012.00014.000             1 71980
13.00013.00012.00011.00010.000 9.00010.00012.00014.00014.000             2 71980
15.00015.00015.00016.00016.00015.00014.00014.00014.00014.00014.000       3 71980
14.00013.00012.00011.00011.00011.00010.00013.00017.00020.000             1 81980
21.00023.00024.00025.00026.00027.00029.00029.00029.00030.000             2 81980
31.00032.00023.00024.00037.00039.00041.00042.00044.00046.00049.000       3 81980
53.00053.00052.00051.00050.00050.00052.00057.00061.00064.000             1 91980
68.00072.00073.00073.00070.00066.00062.00058.00055.00052.000             2 91980
50.00047.00044.00039.00033.00029.00026.00024.00023.00022.000 9999.       3 91980
21.00021.00020.00019.00019.00018.00017.00017.00016.00016.000             1101980
15.00015.00014.00014.00013.00012.00012.00012.00011.00011.000             2101980
11.00010.00010.00010.00010.00011.00011.00011.00010.000 9.000 9.000       3101980
 9.000 8.000 8.000 8.000 7.000 7.000 7.000 7.000 6.000 6.000             1111980
 6.000 6.000 6.000 6.000 5.000 5.000 5.000 5.000 5.000 5.000             2111980
 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 4.000 3.000 9999.       3111980
 3.000 3.000 3.000 3.000 3.000 3.000 3.000 3.000 2.000 2.000             1121980
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000             2121980
 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000 2.000       3121980
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 11981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             2 11981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000       3 11981
 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000             1 21981
